strategy,sharpe_mean,sharpe_p5,sharpe_p50,sharpe_p95,robustness,width_90
ERC,2.701818625417248,2.4131931308082692,2.6995441729568164,3.0025980258269476,0.17777974817649086,0.5894048950186783
Equal_Weight,2.250735704914573,1.9588026125124243,2.2525280454757244,2.540374680508908,0.1782533165014243,0.5815720679964835
Min_Variance,2.4974251057143246,2.206287660155977,2.495992912860555,2.788247111181881,0.17657033743563968,0.5819594510259041
Robust_Evolver,2.9464005702872447,2.652350475560591,2.9444204886956817,3.239080309364689,0.17619237976583876,0.5867298338040978
