strategy,ann_sharpe,ann_vol,max_dd,turnover_m,var_1m,cvar_1m
Robust_Evolver,1.4479987447561846,0.03003752545478483,-0.04821981928416725,0.18,-0.01028977412351176,-0.01331342944198592
Equal_Weight,1.3450349535475956,0.03008584331665053,-0.07586571718791954,0.02,-0.01098698289721596,-0.0142944350732914
Min_Variance,1.3179934298035638,0.03085042465086168,-0.06009884169778434,0.15,-0.01090026100510501,-0.01392160030443339
ERC,1.2309594725279802,0.02939598751346181,-0.0595335395952702,0.12,-0.01160506951193119,-0.01446043874460833
